Country_standard,Genotype,Seq_count,Total_seq,Genotype_prop,HBV_prevalence_abs,Est_infections_genotype,Coverage_ratio
Angola,HBV-E,16,16,1.0,3890238.639841015,3890238.639841015,4.11285822832038e-06
Argentina,HBV-A,19,189,0.10052910052910052,205102.4127134017,20618.761066426625,0.0009214908664389908
Argentina,HBV-B,4,189,0.021164021164021163,205102.4127134017,4340.791803458236,0.0009214908664389909
Argentina,HBV-C,3,189,0.015873015873015872,205102.4127134017,3255.5938525936776,0.0009214908664389907
Argentina,HBV-D,52,189,0.2751322751322751,205102.4127134017,56430.293444957075,0.0009214908664389908
Argentina,HBV-F,107,189,0.5661375661375662,205102.4127134017,116116.18074250784,0.0009214908664389907
Argentina,HBV-G,2,189,0.010582010582010581,205102.4127134017,2170.395901729118,0.0009214908664389909
Argentina,HBV-H,2,189,0.010582010582010581,205102.4127134017,2170.395901729118,0.0009214908664389909
Australia,HBV-A,2,89,0.02247191011235955,457425.5514902616,10279.225876185654,0.00019456718084515394
Australia,HBV-B,3,89,0.033707865168539325,457425.5514902616,15418.83881427848,0.00019456718084515394
Australia,HBV-C,80,89,0.898876404494382,457425.5514902616,411169.0350474262,0.0001945671808451539
Australia,HBV-D,3,89,0.033707865168539325,457425.5514902616,15418.83881427848,0.00019456718084515394
Australia,HBV-F,1,89,0.011235955056179775,457425.5514902616,5139.612938092827,0.00019456718084515394
Bangladesh,HBV-A,23,104,0.22115384615384615,4037533.1276265928,892915.9801481888,2.5758302585404405e-05
Bangladesh,HBV-C,44,104,0.4230769230769231,4037533.1276265928,1708187.0924574046,2.5758302585404405e-05
Bangladesh,HBV-D,37,104,0.3557692307692308,4037533.1276265928,1436430.0550209994,2.5758302585404405e-05
Belarus,HBV-A,3,12,0.25,79737.07746328268,19934.26936582067,0.00015049460529232162
Belarus,HBV-D,9,12,0.75,79737.07746328268,59802.80809746201,0.00015049460529232162
Belgium,HBV-A,88,139,0.6330935251798561,61154.80151263368,38716.70887130765,0.002272920466781086
Belgium,HBV-B,2,139,0.014388489208633094,61154.80151263368,879.9252016206286,0.0022729204667810855
Belgium,HBV-C,4,139,0.02877697841726619,61154.80151263368,1759.8504032412573,0.0022729204667810855
Belgium,HBV-D,34,139,0.2446043165467626,61154.80151263368,14958.728427550686,0.0022729204667810855
Belgium,HBV-E,8,139,0.05755395683453238,61154.80151263368,3519.7008064825145,0.0022729204667810855
Belgium,HBV-G,3,139,0.02158273381294964,61154.80151263368,1319.8878024309429,0.0022729204667810855
"Bolivia, Plurinational State of",HBV-F,4,4,1.0,,,
Botswana,HBV-A,24,50,0.48,73120.31197716962,35097.74974904142,0.0006838045222729837
Botswana,HBV-D,24,50,0.48,73120.31197716962,35097.74974904142,0.0006838045222729837
Botswana,HBV-E,2,50,0.04,73120.31197716962,2924.812479086785,0.0006838045222729836
Brazil,HBV-A,35,132,0.26515151515151514,2980847.008006548,790376.1006077968,4.428271549846346e-05
Brazil,HBV-D,75,132,0.5681818181818182,2980847.008006548,1693663.0727309934,4.4282715498463456e-05
Brazil,HBV-E,1,132,0.007575757575757576,2980847.008006548,22582.17430307991,4.4282715498463456e-05
