Country_standard,Genotype,Seq_count,Total_seq,Genotype_prop,HBV_prevalence_abs,Est_infections_genotype,Coverage_ratio
Brazil,HBV-F,20,132,0.15151515151515152,2980847.008006548,451643.4860615982,4.428271549846346e-05
Brazil,HBV-G,1,132,0.007575757575757576,2980847.008006548,22582.17430307991,4.4282715498463456e-05
Burkina Faso,HBV-A,2,7,0.2857142857142857,1549767.3315645647,442790.66616130417,4.516807044147177e-06
Burkina Faso,HBV-E,5,7,0.7142857142857143,1549767.3315645647,1106976.6654032606,4.5168070441471765e-06
Cabo Verde,HBV-A,10,19,0.5263157894736842,36029.55425807106,18962.92329372161,0.0005273448531699158
Cabo Verde,HBV-E,9,19,0.47368421052631576,36029.55425807106,17066.63096434945,0.0005273448531699159
Cambodia,HBV-B,25,107,0.2336448598130841,948811.293019692,221684.881546657,0.000112772688085806
Cambodia,HBV-C,82,107,0.7663551401869159,948811.293019692,727126.4114730349,0.00011277268808580601
Cameroon,HBV-A,5,48,0.10416666666666667,1875719.616589804,195387.46006143792,2.559017860423485e-05
Cameroon,HBV-E,35,48,0.7291666666666666,1875719.616589804,1367712.2204300654,2.559017860423485e-05
Cameroon,HBV-F,8,48,0.16666666666666666,1875719.616589804,312619.9360983006,2.5590178604234854e-05
Canada,HBV-A,4,71,0.056338028169014086,714241.2567589422,40238.944042757306,9.94061870945137e-05
Canada,HBV-B,49,71,0.6901408450704225,714241.2567589422,492927.06452377693,9.940618709451371e-05
Canada,HBV-D,6,71,0.08450704225352113,714241.2567589422,60358.416064135956,9.94061870945137e-05
Canada,HBV-G,2,71,0.028169014084507043,714241.2567589422,20119.472021378653,9.94061870945137e-05
Canada,HBV-I,10,71,0.14084507042253522,714241.2567589422,100597.36010689326,9.94061870945137e-05
Central African Republic,HBV-E,4,4,1.0,620080.3561682323,620080.3561682323,6.450776839179165e-06
Chile,HBV-F,23,23,1.0,117902.96324521412,117902.96324521412,0.0001950756738163119
China,HBV-A,41,4350,0.00942528735632184,85060298.974956,801717.7604536084,5.1140191751274643e-05
China,HBV-B,1218,4350,0.28,85060298.974956,23816883.712987684,5.114019175127464e-05
China,HBV-C,2856,4350,0.6565517241379311,85060298.974956,55846485.947695255,5.1140191751274643e-05
China,HBV-D,55,4350,0.01264367816091954,85060298.974956,1075475.044510938,5.1140191751274643e-05
China,HBV-F,2,4350,0.0004597701149425287,85060298.974956,39108.18343676138,5.114019175127465e-05
China,HBV-I,178,4350,0.04091954022988506,85060298.974956,3480628.3258717633,5.114019175127464e-05
Colombia,HBV-F,2,2,1.0,1409021.532363825,1409021.532363825,1.419424724223148e-06
Democratic Republic of the Congo,HBV-A,1,1,1.0,12471880.216731915,12471880.216731915,8.018037237548423e-08
Egypt,HBV-D,1,3,0.3333333333333333,2095795.9453286685,698598.6484428894,1.4314370665172425e-06
Egypt,HBV-E,2,3,0.6666666666666666,2095795.9453286685,1397197.296885779,1.4314370665172425e-06
Ethiopia,HBV-A,10,34,0.29411764705882354,5826456.724296845,1713663.7424402484,5.835450533463497e-06
Ethiopia,HBV-D,23,34,0.6764705882352942,5826456.724296845,3941426.6076125717,5.835450533463497e-06
Ethiopia,HBV-E,1,34,0.029411764705882353,5826456.724296845,171366.37424402483,5.835450533463497e-06
Fiji,HBV-C,4,8,0.5,15045.91311607654,7522.95655803827,0.0005317058485105839
Fiji,HBV-D,4,8,0.5,15045.91311607654,7522.95655803827,0.0005317058485105839
France,HBV-A,4,12,0.3333333333333333,402212.54340966855,134070.84780322283,2.983497207290612e-05
France,HBV-D,4,12,0.3333333333333333,402212.54340966855,134070.84780322283,2.983497207290612e-05
France,HBV-E,2,12,0.16666666666666666,402212.54340966855,67035.42390161142,2.983497207290612e-05
France,HBV-I,2,12,0.16666666666666666,402212.54340966855,67035.42390161142,2.983497207290612e-05
French Polynesia,HBV-B,3,18,0.16666666666666666,,,
French Polynesia,HBV-C,6,18,0.3333333333333333,,,
French Polynesia,HBV-F,9,18,0.5,,,
Gabon,HBV-A,6,7,0.8571428571428571,106299.24475254424,91113.63835932362,6.58518319325355e-05
Gabon,HBV-E,1,7,0.14285714285714285,106299.24475254424,15185.606393220605,6.58518319325355e-05
Gambia,HBV-A,1,1,1.0,71082.90903350407,71082.90903350407,1.406807928370886e-05
Germany,HBV-A,8,126,0.06349206349206349,311884.4222170866,19802.1855375928,0.0004039958107054732
Germany,HBV-B,2,126,0.015873015873015872,311884.4222170866,4950.5463843982,0.0004039958107054732
Germany,HBV-D,116,126,0.9206349206349206,311884.4222170866,287131.69029509556,0.0004039958107054733
Ghana,HBV-A,1,3,0.3333333333333333,2250273.119828712,750091.039942904,1.3331715041898364e-06
Ghana,HBV-D,2,3,0.6666666666666666,2250273.119828712,1500182.079885808,1.3331715041898364e-06
Greenland,HBV-B,4,43,0.09302325581395349,881.0779124650892,81.9607360432641,0.04880385649402349
Greenland,HBV-D,39,43,0.9069767441860465,881.0779124650892,799.117176421825,0.048803856494023495
Guinea,HBV-A,6,126,0.047619047619047616,1411826.5241264629,67229.83448221251,8.924609209899906e-05
Guinea,HBV-D,10,126,0.07936507936507936,1411826.5241264629,112049.72413702085,8.924609209899905e-05
Guinea,HBV-E,110,126,0.873015873015873,1411826.5241264629,1232546.9655072296,8.924609209899903e-05
Haiti,HBV-A,58,63,0.9206349206349206,226086.28609747835,208142.93005799592,0.00027865467245915664
Haiti,HBV-D,5,63,0.07936507936507936,226086.28609747835,17943.35603948241,0.0002786546724591566
Hong Kong,HBV-B,17,56,0.30357142857142855,,,
Hong Kong,HBV-C,39,56,0.6964285714285714,,,
India,HBV-A,52,212,0.24528301886792453,38625731.949959904,9474236.13866941,5.488569129891144e-06
India,HBV-C,38,212,0.1792452830188679,38625731.949959904,6923480.255181491,5.488569129891145e-06
India,HBV-D,116,212,0.5471698113207547,38625731.949959904,21134834.46318561,5.488569129891144e-06
India,HBV-I,6,212,0.02830188679245283,38625731.949959904,1093181.0929233935,5.488569129891144e-06
Indonesia,HBV-B,42,62,0.6774193548387096,10195907.625857228,6906905.165903283,6.080871098004608e-06
Indonesia,HBV-C,10,62,0.16129032258064516,10195907.625857228,1644501.2299769723,6.0808710980046075e-06
Indonesia,HBV-D,3,62,0.04838709677419355,10195907.625857228,493350.3689930917,6.080871098004608e-06
Indonesia,HBV-F,7,62,0.11290322580645161,10195907.625857228,1151150.8609838807,6.0808710980046075e-06
"Iran, Islamic Republic of",HBV-D,166,166,1.0,,,
Iraq,HBV-D,8,8,1.0,262144.8092787035,262144.8092787035,3.051748391285013e-05
Ireland,HBV-F,1,1,1.0,32297.123771499464,32297.123771499464,3.096250945053033e-05
Italy,HBV-D,1,1,1.0,1044490.1773807053,1044490.1773807053,9.574048867627704e-07
Ivory Coast,HBV-A,4,4,1.0,,,
Japan,HBV-A,69,189,0.36507936507936506,2671732.990277967,975394.5837522736,7.074060195676084e-05
Japan,HBV-B,78,189,0.4126984126984127,2671732.990277967,1102619.9642417005,7.074060195676084e-05
Japan,HBV-C,29,189,0.15343915343915343,2671732.990277967,409948.44824370916,7.074060195676084e-05
Japan,HBV-D,3,189,0.015873015873015872,2671732.990277967,42408.46016314233,7.074060195676084e-05
Japan,HBV-F,4,189,0.021164021164021163,2671732.990277967,56544.61355085644,7.074060195676084e-05
Japan,HBV-G,1,189,0.005291005291005291,2671732.990277967,14136.15338771411,7.074060195676084e-05
Japan,HBV-H,3,189,0.015873015873015872,2671732.990277967,42408.46016314233,7.074060195676084e-05
Japan,HBV-I,1,189,0.005291005291005291,2671732.990277967,14136.15338771411,7.074060195676084e-05
Japan,HBV-J,1,189,0.005291005291005291,2671732.990277967,14136.15338771411,7.074060195676084e-05
Kenya,HBV-A,21,28,0.75,1754537.6137112349,1315903.210283426,1.595862053978644e-05
Kenya,HBV-D,7,28,0.25,1754537.6137112349,438634.4034278087,1.595862053978644e-05
Kiribati,HBV-D,8,8,1.0,7276.308738801978,7276.308738801978,0.0010994585698843196
"Korea, Republic of",HBV-B,98,102,0.9607843137254902,,,
"Korea, Republic of",HBV-C,4,102,0.0392156862745098,,,
Kyrgyzstan,HBV-D,8,8,1.0,131345.56439086556,131345.56439086556,6.090803322595004e-05
Lao People's Democratic Republic,HBV-B,1,4,0.25,411084.48141261487,102771.12035315372,9.73036001323803e-06
Lao People's Democratic Republic,HBV-C,3,4,0.75,411084.48141261487,308313.36105946114,9.73036001323803e-06
Latvia,HBV-A,2,6,0.3333333333333333,18538.2851282016,6179.428376067201,0.00032365453214830664
Latvia,HBV-D,4,6,0.6666666666666666,18538.2851282016,12358.856752134401,0.00032365453214830664
Lebanon,HBV-D,42,42,1.0,102517.93886104994,102517.93886104994,0.0004096843973514301
Liberia,HBV-E,6,6,1.0,541311.6205475662,541311.6205475662,1.1084188427232863e-05
Malaysia,HBV-A,2,296,0.006756756756756757,457532.6238163064,3091.436647407476,0.0006469484023478952
Malaysia,HBV-B,173,296,0.5844594594594594,457532.6238163064,267409.27000074665,0.0006469484023478953
Malaysia,HBV-C,117,296,0.3952702702702703,457532.6238163064,180849.04387333733,0.0006469484023478953
Malaysia,HBV-D,4,296,0.013513513513513514,457532.6238163064,6182.873294814952,0.0006469484023478952
Mexico,HBV-E,1,13,0.07692307692307693,626496.0038658585,48192.000297373736,2.075033187727001e-05
Mexico,HBV-F,5,13,0.38461538461538464,626496.0038658585,240960.00148686868,2.075033187727001e-05
Mexico,HBV-G,2,13,0.15384615384615385,626496.0038658585,96384.00059474747,2.075033187727001e-05
Mexico,HBV-H,5,13,0.38461538461538464,626496.0038658585,240960.00148686868,2.075033187727001e-05
Mongolia,HBV-A,1,17,0.058823529411764705,142349.28207288074,8373.487180757691,0.0001194245573454754
Mongolia,HBV-C,2,17,0.11764705882352941,142349.28207288074,16746.974361515382,0.0001194245573454754
Mongolia,HBV-D,14,17,0.8235294117647058,142349.28207288074,117228.82053060767,0.00011942455734547541
Myanmar,HBV-C,16,16,1.0,977625.7704911436,977625.7704911436,1.636618068277993e-05
Netherlands,HBV-A,131,213,0.6150234741784038,63996.9683065372,39359.63778477171,0.003328282661449798
Netherlands,HBV-B,18,213,0.08450704225352113,63996.9683065372,5408.194504777792,0.003328282661449798
Netherlands,HBV-C,12,213,0.056338028169014086,63996.9683065372,3605.4630031851943,0.003328282661449798
Netherlands,HBV-D,27,213,0.1267605633802817,63996.9683065372,8112.291757166688,0.003328282661449798
Netherlands,HBV-E,4,213,0.018779342723004695,63996.9683065372,1201.8210010617315,0.003328282661449798
Netherlands,HBV-F,15,213,0.07042253521126761,63996.9683065372,4506.828753981493,0.0033282826614497983
Netherlands,HBV-G,5,213,0.023474178403755867,63996.9683065372,1502.2762513271643,0.003328282661449798
Netherlands,HBV-H,1,213,0.004694835680751174,63996.9683065372,300.4552502654329,0.003328282661449798
New Caledonia,HBV-C,5,10,0.5,,,
New Caledonia,HBV-D,5,10,0.5,,,
New Zealand,HBV-C,9,52,0.17307692307692307,89564.95215915574,15501.626335238494,0.000580584243573275
New Zealand,HBV-D,43,52,0.8269230769230769,89564.95215915574,74063.32582391724,0.000580584243573275
Nigeria,HBV-A,5,62,0.08064516129032258,22746403.743464258,1834387.3986664724,2.7257055972118013e-06
Nigeria,HBV-E,57,62,0.9193548387096774,22746403.743464258,20912016.344797783,2.7257055972118017e-06
Pakistan,HBV-D,5,5,1.0,5930560.902730581,5930560.902730581,8.430905747376901e-07
Palestine,HBV-D,4,4,1.0,63664.562050305736,63664.562050305736,6.282930206665563e-05
Panama,HBV-A,19,48,0.3958333333333333,30930.68704269785,12243.39695440123,0.0015518568964775679
Panama,HBV-B,6,48,0.125,30930.68704269785,3866.335880337231,0.0015518568964775676
Panama,HBV-C,4,48,0.08333333333333333,30930.68704269785,2577.557253558154,0.0015518568964775676
Panama,HBV-F,19,48,0.3958333333333333,30930.68704269785,12243.39695440123,0.0015518568964775679
Papua New Guinea,HBV-C,17,19,0.8947368421052632,987867.3850900104,883881.3445542197,1.9233350839160258e-05
Papua New Guinea,HBV-D,2,19,0.10526315789473684,987867.3850900104,103986.04053579055,1.9233350839160258e-05
Paraguay,HBV-F,17,17,1.0,86704.63437147402,86704.63437147402,0.0001960679509605663
Peru,HBV-F,23,23,1.0,504167.8981347651,504167.8981347651,4.561972328085842e-05
Philippines,HBV-C,1,1,1.0,6979989.991175343,6979989.991175343,1.4326668107895272e-07
Poland,HBV-A,45,53,0.8490566037735849,211020.7483486266,179168.55991864525,0.00025116013669157733
Poland,HBV-D,8,53,0.1509433962264151,211020.7483486266,31852.188429981372,0.00025116013669157733
Russia,HBV-A,12,223,0.053811659192825115,,,
Russia,HBV-C,5,223,0.02242152466367713,,,
Russia,HBV-D,206,223,0.9237668161434978,,,
Rwanda,HBV-A,23,23,1.0,500011.5021578649,500011.5021578649,4.5998941825819004e-05
Samoa,HBV-D,2,2,1.0,8408.537317535685,8408.537317535685,0.00023785349633033987
Saudi Arabia,HBV-E,6,6,1.0,723248.227803521,723248.227803521,8.295906950538663e-06
Senegal,HBV-A,3,8,0.375,994643.93255418,372991.47470781754,8.043079275069347e-06
Senegal,HBV-D,1,8,0.125,994643.93255418,124330.4915692725,8.043079275069349e-06
Senegal,HBV-E,4,8,0.5,994643.93255418,497321.96627709,8.043079275069349e-06
Serbia,HBV-A,3,12,0.25,88631.80550956442,22157.951377391106,0.00013539157789925715
Serbia,HBV-D,9,12,0.75,88631.80550956442,66473.85413217332,0.00013539157789925713
Somalia,HBV-D,1,2,0.5,3091247.212554413,1545623.6062772064,6.469880480206969e-07
Somalia,HBV-E,1,2,0.5,3091247.212554413,1545623.6062772064,6.469880480206969e-07
South Africa,HBV-A,205,239,0.8577405857740585,711421.140629185,610214.7858953261,0.00033594728403576394
South Africa,HBV-C,1,239,0.0041841004184100415,711421.140629185,2976.657492172322,0.000335947284035764
South Africa,HBV-D,27,239,0.11297071129707113,711421.140629185,80369.7522886527,0.00033594728403576394
South Africa,HBV-E,4,239,0.016736401673640166,711421.140629185,11906.629968689287,0.000335947284035764
South Africa,HBV-G,2,239,0.008368200836820083,711421.140629185,5953.314984344644,0.000335947284035764
Sudan,HBV-A,3,89,0.033707865168539325,2249668.2702240827,75831.51472665447,3.956138830687912e-05
Sudan,HBV-D,52,89,0.5842696629213483,2249668.2702240827,1314412.9219286775,3.956138830687912e-05
Sudan,HBV-E,34,89,0.38202247191011235,2249668.2702240827,859423.8335687506,3.956138830687912e-05
Sweden,HBV-D,14,14,1.0,51468.38593132429,51468.38593132429,0.0002720116387306296
Syrian Arab Republic,HBV-D,70,70,1.0,340873.9748477582,340873.9748477582,0.00020535448630615915
"Taiwan, Province of China",HBV-B,228,250,0.912,,,
"Taiwan, Province of China",HBV-C,22,250,0.088,,,
Tajikistan,HBV-A,3,8,0.375,202853.4621878254,76070.04832043452,3.943733527502068e-05
Tajikistan,HBV-D,5,8,0.625,202853.4621878254,126783.41386739089,3.943733527502067e-05
"Tanzania, United Republic of",HBV-A,2,2,1.0,,,
Thailand,HBV-B,19,138,0.13768115942028986,2462107.283385278,338985.78539362526,5.604954785327497e-05
Thailand,HBV-C,96,138,0.6956521739130435,2462107.283385278,1712770.2840941064,5.604954785327498e-05
Thailand,HBV-F,21,138,0.15217391304347827,2462107.283385278,374668.49964558583,5.604954785327497e-05
Thailand,HBV-G,1,138,0.007246376811594203,2462107.283385278,17841.357125980277,5.604954785327497e-05
Thailand,HBV-I,1,138,0.007246376811594203,2462107.283385278,17841.357125980277,5.604954785327497e-05
Tonga,HBV-C,2,3,0.6666666666666666,3332.5701038383686,2221.713402558912,0.000900206119158507
Tonga,HBV-D,1,3,0.3333333333333333,3332.5701038383686,1110.856701279456,0.000900206119158507
Tunisia,HBV-A,1,53,0.018867924528301886,254736.8006715072,4806.354729651079,0.00020805788508094489
Tunisia,HBV-C,1,53,0.018867924528301886,254736.8006715072,4806.354729651079,0.00020805788508094489
Tunisia,HBV-D,51,53,0.9622641509433962,254736.8006715072,245124.09121220504,0.00020805788508094486
Uganda,HBV-A,62,69,0.8985507246376812,1864261.3393838035,1675133.3774173306,3.701197817190516e-05
Uganda,HBV-D,5,69,0.07246376811594203,1864261.3393838035,135091.40140462344,3.701197817190516e-05
Uganda,HBV-F,2,69,0.028985507246376812,1864261.3393838035,54036.56056184938,3.701197817190515e-05
United Kingdom,HBV-A,2,28,0.07142857142857142,605680.6126137483,43262.90090098202,4.622898507378182e-05
United Kingdom,HBV-B,4,28,0.14285714285714285,605680.6126137483,86525.80180196404,4.622898507378182e-05
United Kingdom,HBV-C,8,28,0.2857142857142857,605680.6126137483,173051.6036039281,4.622898507378182e-05
United Kingdom,HBV-D,8,28,0.2857142857142857,605680.6126137483,173051.6036039281,4.622898507378182e-05
United Kingdom,HBV-E,5,28,0.17857142857142858,605680.6126137483,108157.25225245506,4.622898507378182e-05
United Kingdom,HBV-G,1,28,0.03571428571428571,605680.6126137483,21631.45045049101,4.622898507378182e-05
United States,HBV-A,403,1702,0.23678025851938894,,,
United States,HBV-B,349,1702,0.20505287896592245,,,
United States,HBV-C,650,1702,0.381903642773208,,,
United States,HBV-D,125,1702,0.07344300822561692,,,
United States,HBV-E,92,1702,0.05405405405405406,,,
United States,HBV-F,14,1702,0.008225616921269096,,,
United States,HBV-G,69,1702,0.04054054054054054,,,
Unknown,HBV-A,9,124,0.07258064516129033,,,
Unknown,HBV-D,115,124,0.9274193548387096,,,
Uruguay,HBV-A,2,9,0.2222222222222222,13245.33645228596,2943.4081005079906,0.000679484438347108
Uruguay,HBV-D,1,9,0.1111111111111111,13245.33645228596,1471.7040502539953,0.000679484438347108
Uruguay,HBV-F,6,9,0.6666666666666666,13245.33645228596,8830.224301523973,0.0006794844383471079
Vanuatu,HBV-C,1,1,1.0,14129.844921144964,14129.844921144964,7.077218508630089e-05
"Venezuela, Bolivarian Republic of",HBV-F,2,3,0.6666666666666666,,,
"Venezuela, Bolivarian Republic of",HBV-G,1,3,0.3333333333333333,,,
Viet Nam,HBV-A,1,278,0.0035971223021582736,6607677.197394592,23768.623012210763,4.2072273159714195e-05
Viet Nam,HBV-B,201,278,0.7230215827338129,6607677.197394592,4777493.225454363,4.2072273159714195e-05
Viet Nam,HBV-C,74,278,0.26618705035971224,6607677.197394592,1758878.1029035964,4.2072273159714195e-05
Viet Nam,HBV-I,2,278,0.007194244604316547,6607677.197394592,47537.246024421525,4.2072273159714195e-05
Zimbabwe,HBV-A,3,3,1.0,1392141.717751945,1392141.717751945,2.154953020763183e-06
