Taxa	Genotype	Country	Date
OR497992.1	HCV-1	Belgium	2011
OR497991.1	HCV-1	Belgium	2011
OR497990.1	HCV-1	Belgium	2011
OR497989.1	HCV-1	Belgium	2009
OR497988.1	HCV-4	Belgium	2017
OR497987.1	HCV-3	Belgium	2017
OR497986.1	HCV-3	Belgium	2016
OR497985.1	HCV-3	Belgium	2014
OR497984.1	HCV-3	Belgium	2017
OR497983.1	HCV-3	Belgium	2017
OR497982.1	HCV-3	Belgium	2016
OR497981.1	HCV-3	Belgium	2015
OR497980.1	HCV-3	Belgium	2015
OR497979.1	HCV-3	Belgium	2017
OR497978.1	HCV-3	Belgium	2014
OR497977.1	HCV-3	Belgium	2017
OR497976.1	HCV-3	Belgium	2017
OR497975.1	HCV-3	Belgium	2016
OR497974.1	HCV-3	Belgium	2016
OR497973.1	HCV-3	Belgium	2014
OR497972.1	HCV-3	Belgium	2014
OR497971.1	HCV-3	Belgium	2014
OR497970.1	HCV-3	Belgium	2008
OR497969.1	HCV-3	Belgium	2017
OR497968.1	HCV-3	Belgium	2017
OR497967.1	HCV-3	Belgium	2015
OR497966.1	HCV-3	Belgium	2014
OR497965.1	HCV-3	Belgium	2017
OR497964.1	HCV-3	Belgium	2014
OR497963.1	HCV-3	Belgium	2014
OR497962.1	HCV-3	Belgium	2014
OR497961.1	HCV-3	Belgium	2016
OR497960.1	HCV-3	Belgium	2012
OR497959.1	HCV-3	Belgium	2011
OR497958.1	HCV-2	Belgium	2015
OR497957.1	HCV-2	Belgium	2006
OR497956.1	HCV-4	Belgium	2016
OR497955.1	HCV-2	Belgium	2015
OR497954.1	HCV-1	Belgium	2015
OR497953.1	HCV-1	Belgium	2015
OR497952.1	HCV-1	Belgium	2015
OR497951.1	HCV-1	Belgium	2017
OR497950.1	HCV-1	Belgium	2016
OR497949.1	HCV-1	Belgium	2016
OR497948.1	HCV-1	Belgium	2015
OR497947.1	HCV-1	Belgium	2015
OR497946.1	HCV-1	Belgium	2015
OR497945.1	HCV-1	Belgium	2015
OR497944.1	HCV-1	Belgium	2015
OR497943.1	HCV-1	Belgium	2015
OR497942.1	HCV-1	Belgium	2014
OR497941.1	HCV-1	Belgium	2014
OR497940.1	HCV-1	Belgium	2013
OR497939.1	HCV-1	Belgium	2013
OR497938.1	HCV-1	Belgium	2013
OR497937.1	HCV-1	Belgium	2013
OR497936.1	HCV-1	Belgium	2017
OR497935.1	HCV-1	Belgium	2016
OR497934.1	HCV-1	Belgium	2016
OR497933.1	HCV-1	Belgium	2016
OR497932.1	HCV-1	Belgium	2015
OR497931.1	HCV-1	Belgium	2015
OR497930.1	HCV-1	Belgium	2014
OR497929.1	HCV-1	Belgium	2012
OR497928.1	HCV-1	Belgium	2011
OR497927.1	HCV-1	Belgium	2016
OR497926.1	HCV-1	Belgium	2016
OR497925.1	HCV-1	Belgium	2015
OR497924.1	HCV-1	Belgium	2014
OR497923.1	HCV-1	Belgium	2014
OR497922.1	HCV-1	Belgium	2014
OR497921.1	HCV-1	Belgium	2017
OR497920.1	HCV-1	Belgium	2017
OR497919.1	HCV-1	Belgium	2015
OR497918.1	HCV-1	Belgium	2015
OR497917.1	HCV-1	Belgium	2015
OR497916.1	HCV-1	Belgium	2015
OR497915.1	HCV-1	Belgium	2015
OR497914.1	HCV-1	Belgium	2014
OR497913.1	HCV-1	Belgium	2014
OR497912.1	HCV-1	Belgium	2013
OR497911.1	HCV-1	Belgium	2012
OR497910.1	HCV-1	Belgium	2011
OR497909.1	HCV-1	Belgium	2011
OR497908.1	HCV-1	Belgium	2015
OR497907.1	HCV-1	Belgium	2014
OR497906.1	HCV-1	Belgium	2013
OR497905.1	HCV-1	Belgium	2013
OR497904.1	HCV-1	Belgium	2012
OR497903.1	HCV-1	Belgium	2011
OR497902.1	HCV-1	Belgium	2010
OR497901.1	HCV-1	Belgium	2010
OR497900.1	HCV-1	Belgium	2009
OR497899.1	HCV-1	Belgium	2009
OR497898.1	HCV-1	Belgium	2009
OR497897.1	HCV-1	Belgium	2009
OR497896.1	HCV-1	Belgium	2009
OR497895.1	HCV-1	Belgium	2015
OR497894.1	HCV-1	Belgium	2014
OR497893.1	HCV-1	Belgium	2014
OR497892.1	HCV-1	Belgium	2013
OR497891.1	HCV-1	Belgium	2013
OR497890.1	HCV-1	Belgium	2013
OR497889.1	HCV-1	Belgium	2013
OR497888.1	HCV-1	Belgium	2012
OR497887.1	HCV-1	Belgium	2011
OR497886.1	HCV-1	Belgium	2011
OR497885.1	HCV-1	Belgium	2010
OR497884.1	HCV-1	Belgium	2010
OR497883.1	HCV-1	Belgium	2009
OR497882.1	HCV-1	Belgium	2009
OR497881.1	HCV-1	Belgium	2009
OR497880.1	HCV-1	Belgium	2009
OR497879.1	HCV-1	Belgium	2008
OR497878.1	HCV-1	Belgium	2008
OR497877.1	HCV-1	Belgium	2008
OR497876.1	HCV-1	Belgium	2006
OR497875.1	HCV-4	Belgium	2012
OR497874.1	HCV-4	Belgium	2008
OR497873.1	HCV-4	Belgium	2010
OR497872.1	HCV-1	Belgium	2013
OR497871.1	HCV-4	Belgium	2016
OR497870.1	HCV-4	Belgium	2017
OR497869.1	HCV-4	Belgium	2015
OR497868.1	HCV-4	Belgium	2017
OR497867.1	HCV-4	Belgium	2017
OR497866.1	HCV-4	Belgium	2014
OR497865.1	HCV-4	Belgium	2013
OR497864.1	HCV-4	Belgium	2012
OR497863.1	HCV-4	Belgium	2011
OR497862.1	HCV-4	Belgium	2010
OR497861.1	HCV-4	Belgium	2010
OR497860.1	HCV-4	Belgium	2008
OR497859.1	HCV-4	Belgium	2017
OR497858.1	HCV-4	Belgium	2011
OR497857.1	HCV-4	Belgium	2018
OR497856.1	HCV-4	Belgium	2017
OR497855.1	HCV-4	Belgium	2015
OR497854.1	HCV-4	Belgium	2011
OR497853.1	HCV-4	Belgium	2011
OR497852.1	HCV-4	Belgium	2015
OR497851.1	HCV-4	Belgium	2015
OR497850.1	HCV-4	Belgium	2016
OR497849.1	HCV-4	Belgium	2013
OR346001.1	HCV-6	Cambodia	2018
OR346000.1	HCV-6	Cambodia	2017
OR345999.1	HCV-6	Cambodia	2018
OR345998.1	HCV-6	Cambodia	2017
OR345997.1	HCV-6	Cambodia	2018
OR345996.1	HCV-6	Cambodia	2017
OR345995.1	HCV-6	Cambodia	2017
OR345994.1	HCV-6	Cambodia	2017
OR345993.1	HCV-6	Cambodia	2017
OR345992.1	HCV-6	Cambodia	2017
OR345991.1	HCV-6	Cambodia	2017
OR345990.1	HCV-6	Cambodia	2017
OQ979445.1	HCV-1	Ukraine	2020
OQ979444.1	HCV-1	Ukraine	2020
OQ979443.1	HCV-1	Ukraine	2020
OQ979441.1	HCV-1	Ukraine	2020
OQ979438.1	HCV-1	Ukraine	2020
OQ979437.1	HCV-1	Ukraine	2020
OQ979436.1	HCV-1	Ukraine	2020
OQ979435.1	HCV-1	Ukraine	2020
OQ979433.1	HCV-1	Ukraine	2020
OQ979432.1	HCV-1	Ukraine	2020
OQ979431.1	HCV-1	Ukraine	2020
OQ979430.1	HCV-1	Ukraine	2020
OQ979429.1	HCV-1	Ukraine	2020
OQ979428.1	HCV-1	Ukraine	2020
OQ979427.1	HCV-1	Ukraine	2020
OQ979426.1	HCV-1	Ukraine	2020
OQ979425.1	HCV-1	Ukraine	2020
OQ979424.1	HCV-1	Ukraine	2020
OQ979423.1	HCV-1	Ukraine	2020
OQ979422.1	HCV-1	Ukraine	2020
OQ979421.1	HCV-1	Ukraine	2020
OQ979420.1	HCV-1	Ukraine	2020
OQ979419.1	HCV-1	Ukraine	2020
OQ979418.1	HCV-1	Ukraine	2020
OQ979417.1	HCV-1	Ukraine	2020
OQ979416.1	HCV-1	Ukraine	2020
OQ979415.1	HCV-1	Ukraine	2020
OQ979413.1	HCV-1	Ukraine	2020
OQ979412.1	HCV-1	Ukraine	2020
OQ979411.1	HCV-1	Ukraine	2020
OQ979410.1	HCV-1	Ukraine	2020
OQ979409.1	HCV-1	Ukraine	2020
OQ979408.1	HCV-1	Ukraine	2020
OQ873161.1	HCV-3	Denmark	2013
OQ873160.1	HCV-3	Denmark	2020
OQ873159.1	HCV-3	Denmark	2017
OQ832071.1	HCV-6	China	2016
OQ181382.1	HCV-1	Mexico	2020
OQ181381.1	HCV-1	Mexico	2017
OQ181380.1	HCV-1	Mexico	2017
