Taxa	Genotype	Country	Date
PV555119.1	HCV-2	China	2019
PV289221.1	HCV-3	Australia	2007
PV289220.1	HCV-3	Australia	2014
PV289219.1	HCV-3	Australia	2017
PV289218.1	HCV-3	Australia	2014
PV289217.1	HCV-3	Australia	2016
PV289216.1	HCV-3	Australia	2008
PV289215.1	HCV-3	Australia	2015
PV289214.1	HCV-3	Australia	2015
PV289213.1	HCV-3	Australia	2015
PV289212.1	HCV-3	Australia	2006
PV289211.1	HCV-3	Australia	2019
PV289210.1	HCV-3	Australia	2006
PV289209.1	HCV-3	Australia	2018
PV289208.1	HCV-3	Australia	2017
PV289207.1	HCV-3	Australia	2006
PV289206.1	HCV-3	Australia	2018
PV289205.1	HCV-3	Australia	2006
PV289204.1	HCV-3	Australia	2007
PV289203.1	HCV-3	Australia	2006
PV289202.1	HCV-3	Australia	2006
PV289201.1	HCV-3	Australia	2007
PV289200.1	HCV-3	Australia	2006
PV289199.1	HCV-3	Australia	2008
PV289198.1	HCV-3	Australia	2007
PV289197.1	HCV-3	Australia	2018
PV289196.1	HCV-3	Australia	2016
PV289195.1	HCV-3	Australia	2015
PV289194.1	HCV-3	Australia	2008
PV289193.1	HCV-3	Australia	2007
PV289192.1	HCV-3	Australia	2006
PV289191.1	HCV-3	Australia	2007
PV289190.1	HCV-3	Australia	2016
PV289189.1	HCV-3	Australia	2009
PV289188.1	HCV-3	Australia	2018
PV289187.1	HCV-3	Australia	2008
PV289186.1	HCV-3	Australia	2006
PV289185.1	HCV-3	Australia	2019
PV289184.1	HCV-3	Australia	2006
PV289183.1	HCV-3	Australia	2006
PV289182.1	HCV-3	Australia	2017
PV289181.1	HCV-3	Australia	2009
PV289180.1	HCV-3	Australia	2009
PV289179.1	HCV-3	Australia	2016
PV289178.1	HCV-3	Australia	2018
PV289177.1	HCV-3	Australia	2011
PV289176.1	HCV-3	Australia	2007
PV289175.1	HCV-3	Australia	2007
PV289174.1	HCV-3	Australia	2014
PV289173.1	HCV-3	Australia	2018
PV289172.1	HCV-3	Australia	2010
PV289171.1	HCV-3	Australia	2014
PV289170.1	HCV-3	Australia	2018
PV289169.1	HCV-3	Australia	2018
PV289168.1	HCV-3	Australia	2017
PV289167.1	HCV-3	Australia	2019
PV289166.1	HCV-3	Australia	2018
PV289165.1	HCV-3	Australia	2008
PV289164.1	HCV-3	Australia	2016
PV289163.1	HCV-3	Australia	2017
PV289162.1	HCV-3	Australia	2017
PV289161.1	HCV-3	Australia	2017
PV289160.1	HCV-3	Australia	2019
PV289159.1	HCV-3	Australia	2006
PV289158.1	HCV-3	Australia	2018
PV289157.1	HCV-3	Australia	2018
PV289156.1	HCV-3	Australia	2015
PV289155.1	HCV-3	Australia	2018
PV289154.1	HCV-3	Australia	2018
PV289153.1	HCV-3	Australia	2016
PV289152.1	HCV-3	Australia	2018
PV289151.1	HCV-3	Australia	2016
PV289150.1	HCV-3	Australia	2018
PV289149.1	HCV-3	Australia	2017
PV289148.1	HCV-3	Australia	2017
PV289147.1	HCV-3	Australia	2017
PV289146.1	HCV-3	Australia	2006
PV289145.1	HCV-3	Australia	2018
PV289144.1	HCV-3	Australia	2019
PV289143.1	HCV-3	Australia	2018
PV289142.1	HCV-3	Australia	2019
PV289141.1	HCV-3	Australia	2014
PV289140.1	HCV-3	Australia	2017
PV289139.1	HCV-3	Australia	2019
PV289138.1	HCV-3	Australia	2007
PV289137.1	HCV-3	Australia	2016
PV289136.1	HCV-3	Australia	2018
PV289135.1	HCV-1	Australia	2019
PV289134.1	HCV-1	Australia	2018
PV289133.1	HCV-1	Australia	2015
PV289132.1	HCV-1	Australia	2018
PV289131.1	HCV-1	Australia	2018
PV289130.1	HCV-1	Australia	2018
PV289129.1	HCV-1	Australia	2017
PV289128.1	HCV-1	Australia	2017
PV289127.1	HCV-1	Australia	2016
PV289126.1	HCV-1	Australia	2018
PV289125.1	HCV-1	Australia	2019
PV289124.1	HCV-1	Australia	2017
PV289123.1	HCV-1	Australia	2018
PV289122.1	HCV-1	Australia	2015
PV289121.1	HCV-1	Australia	2018
PV289120.1	HCV-1	Australia	2017
PV289119.1	HCV-1	Australia	2019
PV289118.1	HCV-1	Australia	2017
PV289117.1	HCV-1	Australia	2016
PV289116.1	HCV-1	Australia	2007
PV289115.1	HCV-1	Australia	2006
PV289114.1	HCV-1	Australia	2017
PV289113.1	HCV-1	Australia	2017
PV289112.1	HCV-1	Australia	2018
PV289111.1	HCV-1	Australia	2016
PV289110.1	HCV-1	Australia	2008
PV289109.1	HCV-1	Australia	2008
PV289108.1	HCV-1	Australia	2017
PV289107.1	HCV-1	Australia	2016
PV289106.1	HCV-1	Australia	2019
PV289105.1	HCV-1	Australia	2007
PV289104.1	HCV-1	Australia	2017
PV289103.1	HCV-1	Australia	2015
PV289102.1	HCV-1	Australia	2017
PV289101.1	HCV-1	Australia	2016
PV289100.1	HCV-1	Australia	2007
PV289099.1	HCV-1	Australia	2009
PV289098.1	HCV-1	Australia	2017
PV289097.1	HCV-1	Australia	2016
PV289096.1	HCV-1	Australia	2016
PV289095.1	HCV-1	Australia	2019
PV289094.1	HCV-1	Australia	2015
PV289093.1	HCV-1	Australia	2018
PV289092.1	HCV-1	Australia	2018
PV289091.1	HCV-1	Australia	2015
PV289090.1	HCV-1	Australia	2009
PV289089.1	HCV-1	Australia	2016
PV289088.1	HCV-1	Australia	2017
PV289087.1	HCV-1	Australia	2019
PV289086.1	HCV-1	Australia	2018
PV289085.1	HCV-1	Australia	2017
PV289084.1	HCV-1	Australia	2007
PV289083.1	HCV-1	Australia	2019
PV289082.1	HCV-1	Australia	2019
PV289081.1	HCV-1	Australia	2008
PV289080.1	HCV-1	Australia	2006
PV289079.1	HCV-1	Australia	2007
PV289078.1	HCV-1	Australia	2016
PV289077.1	HCV-1	Australia	2016
PV289076.1	HCV-1	Australia	2018
PV289075.1	HCV-1	Australia	2016
PV289074.1	HCV-1	Australia	2008
PV289073.1	HCV-1	Australia	2006
PV289072.1	HCV-1	Australia	2008
PV289071.1	HCV-1	Australia	2016
PV289070.1	HCV-1	Australia	2016
PV289069.1	HCV-1	Australia	2016
PV289068.1	HCV-1	Australia	2018
PV289067.1	HCV-1	Australia	2006
PV289066.1	HCV-1	Australia	2008
PV289065.1	HCV-1	Australia	2019
PV289064.1	HCV-1	Australia	2018
PV289063.1	HCV-1	Australia	2016
PV289062.1	HCV-1	Australia	2018
PV289061.1	HCV-1	Australia	2018
PV289060.1	HCV-1	Australia	2019
PV289059.1	HCV-1	Australia	2015
PV289058.1	HCV-1	Australia	2016
PV289057.1	HCV-1	Australia	2015
PV289056.1	HCV-1	Australia	2016
PV289055.1	HCV-1	Australia	2018
PV289054.1	HCV-1	Australia	2008
PV289053.1	HCV-1	Australia	2017
PV289052.1	HCV-1	Australia	2016
PV289051.1	HCV-1	Australia	2016
PV289050.1	HCV-1	Australia	2006
PV289049.1	HCV-1	Australia	2017
PV289048.1	HCV-1	Australia	2018
PV289047.1	HCV-1	Australia	2015
PV289046.1	HCV-1	Australia	2016
PV289045.1	HCV-1	Australia	2018
PV289044.1	HCV-1	Australia	2017
PV289043.1	HCV-1	Australia	2018
PV289042.1	HCV-1	Australia	2018
PV289041.1	HCV-1	Australia	2019
PV289040.1	HCV-1	Australia	2008
PV184571.1	HCV-1	Australia	2019
PV184570.1	HCV-3	Australia	2017
PV184569.1	HCV-1	Australia	2019
PV184568.1	HCV-3	Australia	2019
PV184567.1	HCV-3	Australia	2017
PV184566.1	HCV-1	Australia	2019
PV184565.1	HCV-1	Australia	2019
PV184564.1	HCV-1	Australia	2017
PV184563.1	HCV-3	Australia	2017
PV184562.1	HCV-1	Australia	2018
PV184561.1	HCV-3	Australia	2017
PV184560.1	HCV-1	Australia	2019
PV184559.1	HCV-1	Australia	2018
PV184558.1	HCV-1	Australia	2017
PV184557.1	HCV-1	Australia	2017
PV184556.1	HCV-3	Australia	2018
PV184555.1	HCV-3	Australia	2019
PV184554.1	HCV-1	Australia	2019
PV184553.1	HCV-1	Australia	2019
PV184552.1	HCV-1	Australia	2019
PV184551.1	HCV-3	Australia	2019
PV184550.1	HCV-1	Australia	2018
PV184549.1	HCV-3	Australia	2018
PV184548.1	HCV-3	Australia	2018
PV184547.1	HCV-3	Australia	2018
PV184546.1	HCV-3	Australia	2018
PV184545.1	HCV-1	Australia	2016
PV184544.1	HCV-1	Australia	2016
PV184543.1	HCV-1	Australia	2017
PV184542.1	HCV-3	Australia	2017
PV184541.1	HCV-1	Australia	2016
PV184540.1	HCV-1	Australia	2016
PV184539.1	HCV-3	Australia	2015
PV184538.1	HCV-3	Australia	2015
PV184537.1	HCV-1	Australia	2016
PV184536.1	HCV-3	Australia	2015
PV184535.1	HCV-3	Australia	2018
PV184534.1	HCV-3	Australia	2018
PV184533.1	HCV-3	Australia	2019
PV184532.1	HCV-3	Australia	2019
PV184531.1	HCV-3	Australia	2019
PV184530.1	HCV-3	Australia	2018
PV184529.1	HCV-3	Australia	2017
PV184528.1	HCV-3	Australia	2017
PV184527.1	HCV-3	Australia	2017
PV184526.1	HCV-3	Australia	2017
PV184525.1	HCV-3	Australia	2016
PV184524.1	HCV-1	Australia	2019
PV184523.1	HCV-1	Australia	2017
PV184522.1	HCV-1	Australia	2019
PV184521.1	HCV-3	Australia	2018
PV184520.1	HCV-3	Australia	2017
PV184519.1	HCV-1	Australia	2018
PV184518.1	HCV-1	Australia	2016
PV184517.1	HCV-3	Australia	2014
PV184516.1	HCV-1	Australia	2014
PV184515.1	HCV-1	Australia	2013
PV184514.1	HCV-1	Australia	2014
PV184513.1	HCV-3	Australia	2013
PV184512.1	HCV-1	Australia	2013
PV184511.1	HCV-3	Australia	2013
PV184510.1	HCV-1	Australia	2009
PV184509.1	HCV-3	Australia	2010
PV184508.1	HCV-3	Australia	2012
PV184507.1	HCV-1	Australia	2008
PV184506.1	HCV-3	Australia	2014
PV184505.1	HCV-1	Australia	2010
PV184504.1	HCV-3	Australia	2012
PV184503.1	HCV-3	Australia	2009
PV184502.1	HCV-3	Australia	2013
PV184501.1	HCV-3	Australia	2012
PV184500.1	HCV-3	Australia	2013
PV184499.1	HCV-3	Australia	2012
PV184498.1	HCV-3	Australia	2012
PV184497.1	HCV-3	Australia	2009
PV184496.1	HCV-3	Australia	2014
PV184495.1	HCV-1	Australia	2014
PV184494.1	HCV-1	Australia	2011
PV184493.1	HCV-1	Australia	2012
PV184492.1	HCV-3	Australia	2008
PV184491.1	HCV-1	Australia	2012
PV184490.1	HCV-1	Australia	2008
PV184489.1	HCV-1	Australia	2012
PV184488.1	HCV-1	Australia	2007
PV184487.1	HCV-1	Australia	2012
PV184486.1	HCV-3	Australia	2009
PV184485.1	HCV-3	Australia	2010
PV184484.1	HCV-3	Australia	2013
PV184483.1	HCV-1	Australia	2012
PV184482.1	HCV-3	Australia	2007
PV184481.1	HCV-1	Australia	2011
PV184480.1	HCV-3	Australia	2011
PV184479.1	HCV-3	Australia	2008
PV184478.1	HCV-3	Australia	2009
PV184477.1	HCV-3	Australia	2012
PV184476.1	HCV-1	Australia	2012
PV184475.1	HCV-1	Australia	2011
PV184474.1	HCV-1	Australia	2008
PV184473.1	HCV-3	Australia	2011
PV184472.1	HCV-3	Australia	2011
PV184471.1	HCV-3	Australia	2006
PQ899568.1	HCV-5	Canada	2014
PQ899567.1	HCV-5	Canada	2010
PQ862235.1	HCV-1	United States	2024
PQ365540.1	HCV-3	Nepal	2024
PQ365539.1	HCV-3	Nepal	2023
PQ365538.1	HCV-3	Nepal	2023
PQ365537.1	HCV-3	Nepal	2023
PQ365536.1	HCV-3	Nepal	2023
PQ365535.1	HCV-3	Nepal	2023
PQ365534.1	HCV-3	Nepal	2023
PQ365533.1	HCV-1	Nepal	2023
PQ365532.1	HCV-3	Nepal	2023
PQ365531.1	HCV-3	Nepal	2022
PQ365530.1	HCV-3	Nepal	2022
PQ365529.1	HCV-3	Nepal	2022
PQ365528.1	HCV-3	Nepal	2022
PQ365527.1	HCV-1	Nepal	2022
PQ365526.1	HCV-3	Nepal	2022
PQ365525.1	HCV-3	Nepal	2020
PQ365524.1	HCV-3	Nepal	2022
PQ365523.1	HCV-3	Nepal	2022
PQ365522.1	HCV-3	Nepal	2022
PQ365521.1	HCV-3	Nepal	2022
PQ365520.1	HCV-3	Nepal	2022
PQ365519.1	HCV-3	Nepal	2021
PQ365518.1	HCV-3	Nepal	2021
PQ365517.1	HCV-3	Nepal	2021
PQ365516.1	HCV-1	Nepal	2021
PQ365515.1	HCV-3	Nepal	2021
PQ365514.1	HCV-3	Nepal	2021
PQ365513.1	HCV-3	Nepal	2021
PQ365512.1	HCV-3	Nepal	2021
PQ365511.1	HCV-3	Nepal	2020
PQ365510.1	HCV-1	Nepal	2022
PQ365509.1	HCV-3	Nepal	2021
PQ365508.1	HCV-3	Nepal	2024
PQ365507.1	HCV-1	Nepal	2024
PQ365506.1	HCV-3	Nepal	2023
PQ365505.1	HCV-3	Nepal	2023
PQ365504.1	HCV-3	Nepal	2023
PQ365503.1	HCV-1	Nepal	2023
PQ365502.1	HCV-3	Nepal	2023
PQ365501.1	HCV-3	Nepal	2022
PQ365500.1	HCV-1	Nepal	2022
PQ365499.1	HCV-1	Nepal	2022
PQ365498.1	HCV-3	Nepal	2021
PQ365497.1	HCV-1	Nepal	2021
PP445048.1	HCV-3	Senegal	2021
PP372686.1	HCV-2	China	2021
PP101940.1	HCV-6	Cambodia	2017
PP101939.1	HCV-6	Cambodia	2017
PP101938.1	HCV-6	Cambodia	2017
PP101937.1	HCV-6	Cambodia	2017
PP101936.1	HCV-6	Cambodia	2017
PP101935.1	HCV-6	Cambodia	2017
PP101934.1	HCV-6	Cambodia	2017
PP101933.1	HCV-6	Cambodia	2017
PP101932.1	HCV-6	Cambodia	2017
PP101931.1	HCV-6	Cambodia	2017
PP101930.1	HCV-6	Cambodia	2017
PP101929.1	HCV-6	Cambodia	2017
PP101928.1	HCV-6	Cambodia	2017
PP101927.1	HCV-6	Cambodia	2017
PP101926.1	HCV-6	Cambodia	2017
PP101925.1	HCV-6	Cambodia	2017
PP101924.1	HCV-6	Cambodia	2017
PP101923.1	HCV-6	Cambodia	2017
PP101922.1	HCV-6	Cambodia	2017
PP101921.1	HCV-6	Cambodia	2017
PP101920.1	HCV-6	Cambodia	2017
PP101919.1	HCV-6	Cambodia	2017
PP101918.1	HCV-6	Cambodia	2017
PP101917.1	HCV-6	Cambodia	2017
PP101916.1	HCV-6	Cambodia	2017
PP101915.1	HCV-6	Cambodia	2017
PP101914.1	HCV-6	Cambodia	2017
PP101913.1	HCV-6	Cambodia	2017
PP101912.1	HCV-6	Cambodia	2017
PP101911.1	HCV-1	Cambodia	2017
PP101910.1	HCV-1	Cambodia	2017
PP101909.1	HCV-6	Cambodia	2018
PP101908.1	HCV-6	Cambodia	2017
PP101907.1	HCV-6	Cambodia	2017
PP101906.1	HCV-6	Cambodia	2017
PP101905.1	HCV-6	Cambodia	2017
PP101904.1	HCV-6	Cambodia	2016
PP101903.1	HCV-6	Cambodia	2017
PP101902.1	HCV-6	Cambodia	2018
PP101901.1	HCV-6	Cambodia	2017
PP101900.1	HCV-6	Cambodia	2017
PP101899.1	HCV-6	Cambodia	2018
PP101898.1	HCV-6	Cambodia	2017
PP101897.1	HCV-6	Cambodia	2017
PP101896.1	HCV-6	Cambodia	2017
PP101895.1	HCV-6	Cambodia	2017
PP101894.1	HCV-6	Cambodia	2017
PP101893.1	HCV-6	Cambodia	2017
PP101892.1	HCV-6	Cambodia	2016
PP101891.1	HCV-6	Cambodia	2017
PP101890.1	HCV-6	Cambodia	2016
PP101889.1	HCV-6	Cambodia	2017
PP101888.1	HCV-6	Cambodia	2017
PP092208.1	HCV-8	United Kingdom	2021
PP092207.1	HCV-6	United Kingdom	2018
PP092206.1	HCV-8	United Kingdom	2022
PP092205.1	HCV-8	United Kingdom	2021
OR860301.1	HCV-1	Mexico	2018
OR860300.1	HCV-1	Mexico	2015
OR594285.1	HCV-4	Saudi Arabia	2022
OR498072.1	HCV-2	Belgium	2015
OR498071.1	HCV-1	Belgium	2017
OR498070.1	HCV-1	Belgium	2017
OR498069.1	HCV-1	Belgium	2017
OR498068.1	HCV-1	Belgium	2017
OR498067.1	HCV-1	Belgium	2017
OR498066.1	HCV-1	Belgium	2017
OR498065.1	HCV-1	Belgium	2016
OR498064.1	HCV-1	Belgium	2016
OR498063.1	HCV-1	Belgium	2016
OR498062.1	HCV-1	Belgium	2016
OR498061.1	HCV-1	Belgium	2016
OR498060.1	HCV-1	Belgium	2016
OR498059.1	HCV-1	Belgium	2016
OR498058.1	HCV-1	Belgium	2016
OR498057.1	HCV-1	Belgium	2016
OR498056.1	HCV-1	Belgium	2015
OR498055.1	HCV-1	Belgium	2015
OR498054.1	HCV-1	Belgium	2015
OR498053.1	HCV-1	Belgium	2015
OR498052.1	HCV-1	Belgium	2015
OR498051.1	HCV-1	Belgium	2015
OR498050.1	HCV-1	Belgium	2015
OR498049.1	HCV-1	Belgium	2015
OR498048.1	HCV-1	Belgium	2015
OR498047.1	HCV-1	Belgium	2015
OR498046.1	HCV-1	Belgium	2015
OR498045.1	HCV-1	Belgium	2015
OR498044.1	HCV-1	Belgium	2015
OR498043.1	HCV-1	Belgium	2015
OR498042.1	HCV-1	Belgium	2015
OR498041.1	HCV-1	Belgium	2015
OR498040.1	HCV-1	Belgium	2015
OR498039.1	HCV-1	Belgium	2015
OR498038.1	HCV-1	Belgium	2015
OR498037.1	HCV-1	Belgium	2014
OR498036.1	HCV-1	Belgium	2014
OR498035.1	HCV-1	Belgium	2014
OR498034.1	HCV-1	Belgium	2014
OR498033.1	HCV-1	Belgium	2014
OR498032.1	HCV-1	Belgium	2014
OR498031.1	HCV-1	Belgium	2014
OR498030.1	HCV-1	Belgium	2014
OR498029.1	HCV-1	Belgium	2014
OR498028.1	HCV-1	Belgium	2014
OR498027.1	HCV-1	Belgium	2014
OR498026.1	HCV-1	Belgium	2016
OR498025.1	HCV-1	Belgium	2014
OR498024.1	HCV-1	Belgium	2010
OR498023.1	HCV-1	Belgium	2010
OR498022.1	HCV-1	Belgium	2010
OR498021.1	HCV-1	Belgium	2008
OR498020.1	HCV-1	Belgium	2017
OR498019.1	HCV-1	Belgium	2017
OR498018.1	HCV-1	Belgium	2017
OR498017.1	HCV-1	Belgium	2017
OR498016.1	HCV-1	Belgium	2016
OR498015.1	HCV-1	Belgium	2016
OR498014.1	HCV-1	Belgium	2016
OR498013.1	HCV-1	Belgium	2016
OR498012.1	HCV-1	Belgium	2014
OR498011.1	HCV-1	Belgium	2014
OR498010.1	HCV-1	Belgium	2018
OR498009.1	HCV-1	Belgium	2017
OR498008.1	HCV-1	Belgium	2017
OR498007.1	HCV-1	Belgium	2015
OR498006.1	HCV-1	Belgium	2015
OR498005.1	HCV-1	Belgium	2015
OR498004.1	HCV-1	Belgium	2017
OR498003.1	HCV-1	Belgium	2015
OR498002.1	HCV-1	Belgium	2015
OR498001.1	HCV-1	Belgium	2015
OR498000.1	HCV-1	Belgium	2014
OR497999.1	HCV-1	Belgium	2014
OR497998.1	HCV-1	Belgium	2013
OR497997.1	HCV-1	Belgium	2013
OR497996.1	HCV-1	Belgium	2013
OR497995.1	HCV-1	Belgium	2012
OR497994.1	HCV-1	Belgium	2012
OR497993.1	HCV-1	Belgium	2011
